iter	Passed	Remaining
693	153716	67777
694	154097	67625
695	154418	67447
696	154717	67258
697	155025	67074
698	155432	66931
699	155712	66734
700	156053	66562
701	156374	66381
702	156712	66206
703	157060	66036
704	157376	65852
705	157728	65683
706	157998	65478
707	158177	65237
708	158385	65007
709	158593	64777
710	158786	64541
711	158974	64304
712	159245	64100
713	159562	63914
714	159881	63728
715	160159	63526
716	160457	63332
717	160780	63147
718	161101	62961
719	161388	62762
720	161682	62565
721	162009	62380
722	162312	62186
723	162619	61992
724	162992	61824
725	163316	61637
726	163610	61438
727	163903	61238
728	164244	61056
729	164538	60856
730	164910	60685
731	165238	60497
732	165555	60304
733	165885	60116
734	166203	59923
735	166511	59727
736	166823	59531
737	167084	59317
738	167367	59110
739	167554	58870
740	167816	58656
741	168186	58479
742	168485	58278
743	168780	58074
744	169072	57870
745	169349	57660
746	169643	57456
747	169934	57250
748	170222	57043
749	170544	56848
750	170882	56657
751	171197	56458
752	171536	56267
753	171912	56088
754	172203	55880
755	172459	55661
756	172789	55466
757	173119	55270
758	173401	55059
759	173716	54857
760	173983	54641
761	174245	54423
762	174424	54178
763	174610	53937
764	174795	53695
765	174963	53448
766	175155	53209
767	175446	52999
768	175728	52787
769	175989	52568
770	176286	52360
771	176580	52150
772	176872	51940
773	177189	51737
774	177458	51520
775	177753	51310
776	178064	51104
777	178398	50905
778	178670	50688
779	178924	50466
780	179154	50236
781	179364	50001
782	179560	49763
783	179750	49522
784	180045	49311
785	180400	49116
786	180669	48897
787	180917	48673
788	181173	48450
789	181356	48208
790	181570	47974
791	181756	47733
792	181938	47492
793	182125	47251
794	182298	47007
795	182472	46764
796	182663	46525
797	182866	46289
798	183031	46044
799	183232	45808
800	183410	45566
801	183584	45323
802	183762	45082
803	183940	44841
804	184228	44626
805	184525	44414
806	184770	44189
807	185087	43981
808	185375	43766
809	185637	43544
810	185933	43330
811	186275	43127
812	186529	42904
813	186772	42677
814	187070	42463
815	187410	42259
816	187705	42044
817	187976	41823
818	188250	41603
819	188456	41368
820	188680	41137
821	188913	40908
822	189111	40671
823	189328	40439
824	189495	40196
825	189691	39959
826	189880	39721
827	190068	39482
828	190256	39244
829	190439	39005
830	190633	38769
831	190827	38532
832	191033	38298
833	191334	38083
834	191591	37859
835	191825	37630
836	192034	37397
837	192217	37158
838	192387	36918
839	192557	36677
840	192742	36439
841	192925	36202
842	193104	35963
843	193297	35727
844	193474	35489
845	193656	35251
846	193869	35020
847	194054	34783
848	194256	34549
849	194448	34314
850	194638	34078
851	194838	33845
852	195027	33609
853	195210	33373
854	195402	33138
855	195579	32901
856	195768	32666
857	195961	32431
858	196141	32195
859	196340	31962
860	196551	31731
861	196829	31510
862	197837	31406
863	198436	31235
864	198839	31032
865	199668	30895
866	200023	30684
867	200257	30453
868	200600	30240
869	201147	30056
870	201458	29837
871	201737	29612
872	202021	29389
873	202236	29155
874	202478	28925
875	202690	28691
876	202971	28466
877	203170	28231
878	203349	27992
879	203526	27753
880	203715	27516
881	203924	27282
882	204106	27044
883	204274	26805
884	204443	26566
885	204624	26328
886	204812	26092
887	205016	25857
888	205264	25629
889	205522	25401
890	205705	25164
891	205855	24924
892	206024	24686
893	206198	24448
894	206370	24211
895	206560	23975
896	206736	23739
897	206926	23503
898	207109	23268
899	207305	23033
900	207478	22797
901	207676	22563
902	207883	22330
903	208065	22095
904	208257	21861
905	208429	21625
906	208615	21390
907	208812	21157
908	209014	20924
909	209198	20689
910	209414	20458
911	209587	20223
912	209763	19988
913	209989	19758
914	210160	19523
915	210320	19287
916	210526	19055
917	210699	18820
918	210901	18588
919	211088	18355
920	211256	18120
921	211440	17887
922	211668	17658
923	211907	17429
924	212138	17200
925	212407	16974
